|autores|titulo|ano|group
78|Mekkaoui, Choukri&SOSNOVIK, DAVID E.&Marcel Parolin Jackowski&KOSTIS, WILLIAM J.&STOECK, CHRISTIAN T.&Thiagalingam, Aravinda&REESE, TIMOTHY G.&REDDY, VIVEK Y.&RUSKIN, JEREMY N.&KOZERKE, SEBASTIAN|myocardial scar delineation diffusion tensor magnetic resonance|2018|78.0
80|Sergio Paulo Maravilhas Lopes&MARTINS, J.|knowledge management environment knowledge fab labs|2018|80.0
81|DE CARVALHO JUNIOR, MARCELO ANTONIO&Paulo Bandiera Paiva|health information system role based access control current security trends challenges|2018|81.0
82|ZUBARAN, TADEU K.&Marcus Rolf Peter Ritt|algorithm shop scheduling problem|2018|82.0
83|BORBA, LEONARDO&Marcus Rolf Peter Ritt&MIRALLES, CRISTÓBAL|methods solving robotic assembly line balancing problem|2018|83.0
84|NOGUEIRA, JOÃO BOSCO SALES&CARVALHO, ABRAHÃO CAVALCANTE GOMES DE SOUZA&Edgar Marçal de Barros Filho&ARAÚJO, LEONARDO HERÁCLIO DO CARMO&BEZERRA, MARCELO JOSÉ CORTEZ&DEMANGE, MARCO KAWAMURA|evaluation benefits accuracy application planning knee|2018|84.0
85|Erick de Andrade Barboza&DA SILVA, MARCIONILO J.&COELHO, LEONARDO D.&BASTOS-FILHO, CARMELO J. A.&MARTINS FILHO, JOAQUIM F.|amplifier adaptive control operating point considering non interference|2018|85.0
86|Raul Bezerra Barbosa&Douglas O. Cardoso&Diego Carvalho&Felipe Maia Galvão França|gps trajectory classification|2018|86.0
87|Tiago A. O. Alves&Leandro Augusto Justen Marzulo&Sandip Kundu&Felipe Maia Galvão França|concurrency analysis dynamic dataflow graphs|2018|87.0
88|Leandro Augusto Justen Marzulo&Alexandre C. Sena&Alexandre Solon Nery&Cristiana Bentes&Igor Machado Coelho&Maria Clícia Stelling de Castro&Saulo T. Oliveira&Tiago A. O. Alves&Felipe Maia Galvão França|characterizing evaluating trace redundancy|2018|88.0
89|TARTARINI, LUCA&MAROTTA, MARCELO ANTONIO&Eduardo Coelho Cerqueira&ROCHOL, JUERGEN&BOTH, CRISTIANO BONATO&GERLA, MARIO&BELLAVISTA, PAOLO|software defined decision engine heterogeneous cloud radio access networks|2018|89.0
90|AVANÇO, RAFAEL HENRIQUE&TUSSET, ANGELO MARCELO&José Manoel Balthazar&NABARRETE, AIRTON&Helio Aparecido Navarro|nonlinear dynamics behavior pendulum excited nonideal motor chaos control taking account errors|2018|90.0
91|DORNELLES, ELDAIR F.&KRAISIG, ADRIANA R.&SILVA, JOSÉ A. G. DA&Sandro Sawicki&ROOS-FRANTZ, FABRICIA&CARBONERA, ROBERTO|intelligence seeding density optimization yield simulation oat|2018|91.0
92|ERASO, RICARDO&DE LOURDES GALO, MARIA&ALCÂNTARA, ENNER&Milton Hirokazu Shimabukuro&CARMO, ALISSON|locally tuned model map chlorophyll state porto primavera reservoir terra images|2018|92.0
93|SILVA, SAURA R.&MICHAEL, TODD P.&MEER, ELLIOTT J.&Daniel Guariz Pinheiro&VARANI, ALESSANDRO M.&MIRANDA, VITOR F. O.|analysis corkscrew plants lentibulariaceae chloroplast genomes reveals increasing loss genes|2018|93.0
94|PERNA, L.&VENKATESH, K.&Valdir Gil Pillat&PEZZOPANE, M.&Fagundes, P.R.&EZQUER, R.G.&CABRERA, M.A.|profiles stations crest differences comparison activity|2018|94.0
95|Marcus Felipe Botacin&Paulo Lício de Geus&GREGIO, ANDRE R. A.|enhancing branch monitoring security purposes|2018|95.0
96|PENSO, LUCIA DRAQUE&Rautenbach, Dieter&Uéverton dos Santos Souza|graphs matching uniquely restricted|2018|96.0
97|BUENO, LETÍCIA R.&PENSO, LUCIA D.&PROTTI, FÁBIO&RAMOS, VICTOR R.&Rautenbach, Dieter&Uéverton dos Santos Souza|hardness finding geodetic number subcubic graph|2018|97.0
98|CARNEIRO, ALAN DIÊGO AURÉLIO&PROTTI, FÁBIO&Uéverton dos Santos Souza|resolution wait graphs vertex arc deletion|2018|98.0
100|Vinicius Rafael Neris dos Santos&ALMEIDA, EMERSON&PORSANI, JORGE&TEIXEIRA, FERNANDO&SOLDOVIERI, FRANCESCO|controlled site comparison microwave tomography time reversal imaging techniques surveys|2018|100.0
101|Davi Hirafuji Neiva&Cleber Zanchettin|gesture recognition review focusing sign language mobile context|2018|101.0
102|FACCIN, J.&Ingrid Oliveira de Nunes|remediating cause effect situations architecture|2018|102.0
103|Victor Hugo Oliveira&Elpídio Oscar Benitez Nara&Jacques Nelson Corleta Schreiber&Liane Mahlmann Kipper&Julio Cezar Mairesse Siluk&Guilherme Augusto Schwingel|management models correlations indicators pps|2018|103.0
104|Li, Min&CAUSHAJ, ARBER&Rodrigo César Pedrosa Silva&LOWTHER, DAVID|network based ore sorting|2018|104.0
105|Rafael Kunst&AVILA, LEANDRO&PIGNATON, EDISON&BAMPI, SERGIO&Rochol, Juergen|improving network resources allocation smart cities video surveillance|2018|105.0
106|Cristina Gomes Fernandes&de Paula, Samuel P.&Pedrosa, Lehilton L. C.|improved approximation algorithms capacitated fault tolerant k center|2018|106.0
107|Renata Dantas&Jamilson Dantas&Gabriel Alves de Albuquerque Junior&Paulo Romero Martins Maciel|analysis performability model system|2018|107.0
108|FRANCH, XAVIER&MADHAVJI, NAZIM H.&Carlos Henrique Cabral Duarte|special section conducting empirical studies industry|2018|108.0
109|Adami, Marcos&BERNARDES, SÉRGIO&Arai, Egidio&Ramon Morais de Freitas&SHIMABUKURO, YOSIO E.&ESPÍRITO-SANTO, FERNANDO D.B.&RUDORFF, BERNARDO F.T.&Liana O. Anderson|seasonality vegetation types south america depicted resolution imaging spectroradiometer time series|2018|109.0
110|DE CARVALHO, EMERSON BEZERRA&Elizabeth Ferreira Gouvêa Goldbarg&Marco Cesar Goldbarg|multi version lin heuristic traveling salesman problem|2018|110.0
111|Clenio Figueiredo Salviano|teaching software process improvement method evaluation model|2018|111.0
112|VIEIRA, GIOVANNI CORREIA&DE MENDONÇA, ADRIANO RIBEIRO&DA SILVA, GILSON FERNANDES&ZANETTI, SIDNEY SÁRA&Mayra Luiza Marques da Silva&DOS SANTOS, ALEXANDRE ROSA|prognoses diameter height trees eucalyptus intelligence|2018|112.0
113|SILVA, E.F.&SILVA, R.F.&VIEIRA, G.C.&LEITE, C.C.C.&AGUIAR, M.O.&FIGUEIREDO, E.O.&Mayra Luiza Marques da Silva&SILVA, G.F.|planning production units forest management areas amazon|2018|113.0
114|ECKERT, JONY JAVORSKI&SANTICIOLLI, FABIO MAZZARIOL&BERTOTI, ELVIS&COSTA, EDUARDO DOS SANTOS&Fernanda Cristina Corrêa&SILVA, LUDMILA CORRÊA DE ALKMIN E&DEDINI, FRANCO GIUSEPPE|gear shifting optimization improve vehicle performance fuel consumption engine emissions|2018|114.0
115|CAMATA, JOSE J.&SILVA, VÍTOR&Valduriez, Patrick&Marta Lima de Queiros Mattoso&COUTINHO, ALVARO L.G.A.|visualization data analysis turbidity currents simulation|2018|115.0
116|BETZEK, NELSON MIGUEL&SOUZA, EDUARDO GODOY DE&BAZZI, CLAUDIO LEONES&Kelyn Schenatto&GAVIOLI, ALAN|rectification methods optimization management zones|2018|116.0
118|Jean Carlos Hrycyk&Inali Wisniewski Soares&Luciane Telinski Wiedermann Agner|definition object constraint language rules models support development android applications|2018|118.0
119|Rafael de Oliveira Werneck&DE ALMEIDA, WALDIR RODRIGUES&STEIN, BERNARDO VECCHIA&Daniel Vatanabe Pazinato&JÚNIOR, PEDRO RIBEIRO MENDES&PENATTI, OTÁVIO AUGUSTO BIZETTO&Anderson de Rezende Rocha&TORRES, RICARDO DA SILVA|framework design deployment execution recommendation machine learning experiments|2018|119.0
120|Paulo Vitorino&Sandra Eliza Fontes de Avila&Mauricio Lisboa Perez&Anderson de Rezende Rocha|leveraging deep neural networks fight child pornography age social media|2018|120.0
121|Ali Karaali&Cláudio Rosito Jung|edge based defocus blur estimation adaptive scale selection|2018|121.0
122|Roman Reberger&DALL?OGLIO, ALINE&Cláudio Rosito Jung&RASIA-FILHO, ALBERTO A.|structure diversity spines evidenced reconstruction procedure golgi staining microscopy|2018|122.0
123|DE MESQUITA NETO, JOAQUIM ALVINO&Karin Becker|relating topics behavior effects game|2018|123.0
124|Jorge Luis Poco-Medina&MAYHUA, ANGELA&HEER, JEFFREY|extracting color mappings bitmap images visualizations|2018|124.0
125|Daricélio Moreira Soares&Manoel Limeira de Lima Junior&Alexandre Plastino de Carvalho&Leonardo Gresta Paulino Murta|factors influence reviewer assignment pull requests|2018|125.0
126|Troy Costa Kohwalter&Leonardo Gresta Paulino Murta&Esteban Walter Gonzalez Clua|filtering data game session telemetry similarity collapses|2018|126.0
127|Marcelo da Silva Trindade&MATOS, J.&VASCONCELOS, P. B.|dealing functional coefficients tau method|2018|127.0
128|DEY, SANTANU S.&IROUME, ANDRES&Marco Serpa Molinaro&SALVAGNIN, DOMENICO|improving randomization step feasibility pump|2018|128.0
130|Henrique Cândido de Oliveira&Aluir Porfírio Dal Poz&Mauricio Galo&Ayman F. Habib|surface gradient approach occlusion detection based triangulated irregular network true generation|2018|130.0
131|TOMMASELLI, ANTONIO MARIA GARCIA&Mauricio Galo&DOS REIS, THIAGO TIEDTKE&RUY, ROBERTO DA SILVA&DE MORAES, MARCUS VINICIUS ANTUNES&MATRICARDI, WANDER VIEIRA|development assessment data set containing frame images dense airborne laser scanning point clouds|2018|131.0
132|Adilson Lopes Khouri&Luciano Antonio Digiampietri|combining artificial intelligence ontology frequency based approaches recommend activities scientific|2018|132.0
133|João Roberto Bertini Junior&Maria do Carmo Nicoletti|boosting based streaming data classification|2018|133.0
134|Bruno Cartaxo&Gustavo Henrique Lima Pinto&SOARES, SERGIO|model transfer knowledge software engineering research practice|2018|134.0
136|Gustavo Henrique Lima Pinto&Fernando Castor|energy efficiency new concern application software developers|2018|136.0
137|Alberto José Alvares&Sebastian Toquica Arenas&Marcelo Henrique Souza Bomfim&Eduardo Jose Lima II|retrofitting asea industrial robot numeric control technologies based|2018|137.0
138|Alberto José Alvares&Sebastian Toquica Arenas&Eduardo Jose Lima II&Marcelo Henrique Souza Bomfim|retrofitting manipulator computer numerical based controllers|2018|138.0
139|Kattiuscia Bitencourt&ARAÚJO DURÃO, FREDERICO&Manoel Gomes de Mendonça Neto&LAIQUE BOMFIM DE SOUZA SANTANA, LASSION|model fire emergency situations|2018|139.0
140|AFFONSO, ALEX ANTONIO&Evandro Luis Linhari Rodrigues&PAIVA, MARIA STELA VELUDO DE|boost weber filter eye localization scenarios|2018|140.0
141|Evandro Luis Linhari Rodrigues&André Luiz Martins&PAIVA, MARIA STELA VELUDO DE|feathering effect detection artifact agglomeration index based video technique|2018|141.0
142|LINTZMAYER, CARLA NEGRI&FERTIN, GUILLAUME&Zanoni Dias|sorting permutations strings length weighted rearrangements|2018|142.0
143|Oriel Frigo&Neus Sabater&Julie Delon&Pierre Hellier|style transfer patch sampling|2018|143.0
144|Tereza Kelly Gomes Carneiro&Renata Souza Freitas Dantas Barreto&Roberto Luiz Souza Monteiro&Hernane Borges de Barros Pereira|distance learning pedagogical management model based affinity networks|2018|144.0
145|Vinicius Ruela Pereira Borges&OLIVEIRA, MARIA CRISTINA F. DE&SILVA, THAIS GARCIA&VIEIRA, ARMANDO AUGUSTO HENRIQUES&HAMANN, BERND|region growing segmenting green images|2018|145.0
146|Gerson de Souza Faria&KIM, HAE YONG|audio analysis channel attack pin pads|2018|146.0
147|Carlos Norberto Fischer&Victor de Abreu Campos&Victor Hugo Barella|search protocols obtain sequences learn profile hidden models|2018|147.0
