id_autor|area|subarea|esp
09856764209323|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
09856764209323|Robótica, Mecatrônica e Automação||
09856764209323|Ciência da Computação|Metodologia e Técnicas da Computação|Processamento Gráfico (Graphics)
09856764209323|Ciência da Computação|Metodologia e Técnicas da Computação|Banco de Dados
09856764209323|Administração|Administração de Empresas|Administração da Produção
70785988834845|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
70785988834845|Robótica, Mecatrônica e Automação||
70785988834845|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
70785988834845|Ciência da Computação|Metodologia e Técnicas da Computação|Tolerância a Falhas
70785988834845|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação
54098292730720|Ciência da Computação|Sistemas de Computação|Sistemas concorrentes, paralelos e distribuídos
54098292730720|Ciência da Computação|Redes de Computadores|Redes de Sensores Sem Fio
10737154508089|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
16215763497443|Administração|Administração de Empresas|
16215763497443|Administração|Administração Pública|Organizações Públicas
16215763497443|Direito|Direito Privado|Direito Autoral
16215763497443|Direito|Direito Privado|Direito e Internet
16215763497443|Direito|Direito Privado|Software
16215763497443|Economia|Economia Industrial|Mudança Tecnológica
94273418663276|Saúde Coletiva|Enfermagem do Trabalho|
94273418663276|Saúde Coletiva|Saúde e Meio Ambiente|
94273418663276|Ciência da Computação|Aprendizado de máquinas|
94273418663276|Ciência da Computação|Biotecnologia|
10858860721392|Engenharia Elétrica|Telecomunicações|Sistemas de Telecomunicações
10858860721392|Artes|Música|Música e Tecnologia
10858860721392|Lingüística|Psicolingüística|Percepção da Fala
10858860721392|Ciência da Computação|Metodologia e Técnicas da Computação|Interface Homem Máquina
10858860721392|Ciência da Computação|Metodologia e Técnicas da Computação|Processamento Gráfico (Graphics)
62383747990903|Engenharia de Produção|Engenharia Econômica|
62383747990903|Engenharia de Produção|Pesquisa Operacional|Modelagem, Simulação e Otimização
62383747990903|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
62383747990903|Engenharia de Produção|Pesquisa Operacional|Inteligência Computacional
89457497741676|Ciência da Computação|Matemática da Computação|Modelos Analíticos e de Simulação
89457497741676|Probabilidade e Estatística|Probabilidade e Estatística Aplicadas|Extração de componentes a partir de uma mistura linear
89457497741676|Probabilidade e Estatística|Probabilidade e Estatística Aplicadas|Análise de Componentes Independentes em dados Multivariados
89457497741676|Probabilidade e Estatística|Probabilidade e Estatística Aplicadas|
60825937173021|Ciência da Computação|Metodologia e Técnicas da Computação|Modelagem e Análise de Sistemas de Manufatura
60825937173021|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação Corporativos
07362814849903|Ciência da Computação|Metodologia e Técnicas da Computação|Processamento Gráfico (Graphics)
07362814849903|Ciência da Computação|Sistemas de Computação|
53869533760582|Ciência da Computação||
53869533760582|Ciência da Computação|Computação Bioinspirada|Algoritmos Genéticos
53869533760582|Ciência da Computação|Bioinformática|
53869533760582|Ciência da Computação|Metodologia e Técnicas da Computação|Processamento de Imagens
59681148799573|Ciência da Computação||
59681148799573|Ciência da Computação|Teoria da Computação|
59681148799573|Ciência da Computação|Matemática da Computação|
59681148799573|Matemática||
59681148799573|Matemática|Análise|
59681148799573|Matemática|Matemática Aplicada|
58072833264727|Engenharia Biomédica|Bioengenharia|Modelagem de Sistemas Biológicos
58072833264727|Fisiologia|Fisiologia de Órgãos e Sistemas|Fisiologia Cardiovascular
