|autores|titulo|ano
80|MASSON, RENAUD&VIDAL, THIBAUT&MICHALLET, JULIEN&VAZ PENNA, PUCA HUACHI&Vinicius Tavares Petrucci&Anand Subramanian&DUBEDOUT, HUGUES|iterate local search heuristic multi capacity bin pack machine reassignment problem|2013
81|DE ARAÚJO LUCAS RODRIGUES, PRISCILA&José Roberto Pereira Lauris&SCHOCHAT, ELIANE|efferent inhibitory effect observe emission auditory response neonatal population|2013
82|José Hiroki Saito&João Fernando Mari&Emerson Carlos Pedrino&João Batista Destro-Filho&Maria do Carmo Nicoletti|activation pattern biological neuron culture multi electrode array base modify model|2013
84|Fabio Ortega Munerati&Wilson Vicente Ruggiero|security policy rich business logic model analysis|2013
86|José Jailton Ferreira Henrique Júnior&Tássio Carvalho&Carlos Natalino&Carlos Renato Lisboa Francês&Kelvin Lopes Dias|quality experience handover architecture multimedia network|2013
87|José Eduardo Ochoa Luna&REVOREDO, KATE&Cozman, Fabio Gagliardi|link prediction use description logic|2013
88|PIRES, D. E. V.&Raquel Cardoso de Melo Minardi&DA SILVEIRA, C. H.&Frederico Ferreira Campos filho&MEIRA, W.|noise graph base signature scale receptor base prediction|2013
89|Ana Paula Pereira de Moraes Ress&Renato de Oliveira Moraes&Mário Sérgio Salerno|test drive development innovation value chain|2013
90|CLAUDIO LUIS MARTE&Leopoldo Rideki Yoshioka&Jorge E. Leal de Medeiros&Cledson Akio Sakurai&Caio Fernando Fontana|intelligent transportation system bus rapid transit corridor|2013
93|Diogo R. Ferreira&Fernando Szimanski&Célia Ghedini Ralha|level behavior agent level business process|2013
94|CAROL, Eleonora&KRUSE, Eduardo&Malva Andrea Mancuso&M Melo|regional water flow quantification groundwater wetland|2013
96|Rodrigo Geraldo Ribeiro&Carlos Camarão de Figueiredo&FIGUEIREDO, LUCÍLIA|terminate constraint set simplification algorithm context overload|2013
97|TEIXEIRA, LEOPOLDO&Paulo Henrique Monteiro Borba&Rohit Gheyi|composition configuration knowledge base software product line|2013
98|RAAPHORST, SEBASTIAN&Lucia Rosana Moura&Stevens, Brett|construction cover array feedback shift register sequence|2013
99|Jefferson Luiz Moisés da Silveira&Eduardo Candido Xavier&Flávio Keidi Miyazawa|note knapsack problem unload constraint|2013
108|ALBERTO, ALEX D. B.&Adenilso da Silva Simão|minimization state machine|2013
110|DE PARIS, RENATA&FRANTZ, FÁBIO A.&Osmar Norberto de Souza&Duncan Dubugras Alcoba Ruiz|cloud base web environment handle molecular dock simulation fully receptor model|2013
111|Lucas Crociati Meguins&Gustavo Botelho Sampaio&Eduardo Cintra Abib&RICHAM FAISSAL EL HOSSEIN ELLAKKIS&Marco Aurélio Fernandes Teixeira&Sérgio Robson Martucci Junior&Rodrigo Antonio Rocha da Cruz Adry&Dionei Freitas de Morais|intracranial manifest transient ischemic attack case report|2013
113|Daniel Panario&SAKZAD, AMIN&Stevens, Brett&THOMSON, DAVID&Wang, Qiang|ambiguity deficiency permutation finite field difference map|2013
114|BASU, AMITABH&HILDEBRAND, ROBERT&KÖPPE, MATTHIAS&Marco Serpa Molinaro|theorem infinite group relaxation|2013
115|Silva, Ivanovitch&LEANDRO, RAFAEL&MACEDO, DANIEL&Luiz Affonso Henderson Guedes de Oliveira|dependability evaluation tool internet thing|2013
116|PIGNATON DE FREITAS, EDISON&HEIMFARTH, TALES&Flávio Rech Wagner&PEREIRA, CARLOS EDUARDO&LARSSON, TONY|explore context awareness datum dissemination ad network|2013
119|Luis Felipe Ignácio da Cunha&Luis Antonio Brasil Kowada&Rodrigo de Alencar Hausen&Celina Miraglia Herrera de Figueiredo|advance transposition distance diameter lonely permutation|2013
122|Helyane Bronoski Borges&Julio Cesar Nievola|multi label hierarchical classification protein function prediction|2013
123|Tereza Cristina Giannini&André Luis Acosta&Cláudia Inês da Silva&Paulo Eugênio Alves Macedo de Oliveira&Vera Lúcia Imperatriz Fonseca&Antonio Mauro Saraiva|identify area preserve passion fruit pollination service tropical savanna climate change|2013
124|MAS, JEAN-FRANÇOIS&Britaldo Silveira Soares Filho&PONTIUS, ROBERT&GUTIÉRREZ, MICHELLE&Hermann Rodrigues|suite tool analysis spatial model|2013
125|Gustavo Correa Mirapalheta&Flávia Junqueira Freitas|quantitative model practice apply optimization technique company distribution network design technical note|2013
127|Ricardo Silva Campos&Ronan Mendonça Amorim&Lino de Oliveira, Bernardo&Rocha, B.&Sundnes, Joakim&Barra, Luis Paulo&Marcelo Lobosco&Rodrigo Weber dos Santos&Rodrigo Weber dos Santos|heart model cellular automaton mass spring system|2013
129|MANTOVANI, CAMILA MACIEL CAMPOLINA ALVES&Maria Aparecida Moura|construction contemporary mobility|2013
130|Lesandro Ponciano&Francisco Vilar Brasileiro|assess green strategy peer peer opportunistic grid|2013
132|Ruan Delgado Gomes&Marceu Olveira Adissi&Abel Cavalcante Lima Filho&Marco Aurélio Spohn&Francisco Antonio Belo|impact local process motor monitor system industrial environment use wireless sensor network|2013
134|Elizabeth Astorga González&Roberto Acosta González&Pedro Milá Ortiz&Pedro Manuel Gonzalez del Foyo&José Reinaldo Silva|system supervision control process device|2013
137|BATTARRA, MARIA&Artur Alves Pessoa&Subramanian, Anand&Eduardo Uchoa Barboza&Eduardo Uchoa Barboza|algorithm travel salesman problem draft limit|2013
138|PESSIN, GUSTAVO&OSÓRIO, FERNANDO S.&SOUZA, JEFFERSON R.&UEYAMA, JÓ&Fausto Guzzo da Costa&WOLF, DENIS F.&DIMITROVA, DESISLAVA&BRAUN, TORSTEN&VARGAS, PATRÍCIA A.|investigation evolution indoor robotic localization system base wireless network|2013
140|Cláudio José Silva Ribeiro|enterprise content management information architecture guideline structure information asset|2013
141|Nadia Nedjah&Luneque Silva Jr&Luiza de Macedo Mourelle|congestion ant colony base rout algorithm application execution network chip platform|2013
142|Fernando de Lima Caneppele&Odivaldo José Seraphim&Luís Roberto Almeida Gabriel Filho&Camila Pires Cremasco Gabriel&Antonio Francisco Savi|gain obtain system energy generation wind power electrification use logic controller base|2013
143|SARAIVA, PATRÍCIA CORREIA&Joao Marcos Bastos Cavalcanti&GONÇALVES, MARCOS A.&SANTOS, KATIA C. LAGE&MOURA, EDLENO S.&TORRES, RICARDO DA S.|evaluation parameter combine source evidence web image retrieval use|2013
145|Vinícius Veloso de Melo&Grazieli Luiza Costa Carosio|investigate multi view differential evolution solve constrain engineer design problem|2013
147|Carlos Henrique Farias dos Santos&Edson De Pieri|machine inference coordinate movement underwater vehicle manipulator system|2013
149|Pinto, A.R.&Carlos Barros Montez&ARAÚJO, G.&VASQUES, F.&PORTUGAL, P.|approach implement datum fusion technique sensor network use machine learn algorithm|2013
150|NEVES, LUIZ ALDO LEITE&Luiz Eduardo Nicolini do Patrocínio Nunes&REZENDE, MIRABEL CERQUEIRA|application project management maturity model institution federal government|2013
151|Lesandro Ponciano&Nazareno Andrade&Francisco Vilar Brasileiro|traffic cache perspective|2013
152|Josè Rodrigo Azambuja&Gabriel Nazar&Paolo Rech&Luigi Carro&Fernanda L. Kastensmidt&Thomas Fairbanks&Heather Quinn|evaluate neutron induce base protect software base fault tolerant technique|2013
153|Subramanian, Anand&Eduardo Uchoa Barboza&Pessoa, Artur Alves&Ochi, Luiz Satoru|branch cut price vehicle rout problem pickup delivery|2013
154|Jenny Torres&Michele Nogueira Lima&Guy Pujolle|survey identity management future network|2013
157|Luciana Jácome Basto Cordeiro&Luiz fernando Ribeiro Parente Filho&Rodrigo Costa dos Santos&Walter Gassenferth&Maria Augusta Soares Machado|system usability application fuzzy logic|2013
158|Parent, Christine&DAMIANI, MARIA LUISA&GKOULALAS-DIVANIS, ARIS&José Antonio Fernandes de Macêdo&PELEKIS, NIKOS&THEODORIDIS, YANNIS&Yan, Zhixian&Spaccapietra, Stefano&RENSO, CHIARA&ANDRIENKO, GENNADY&ANDRIENKO, NATALIA&BOGORNY, VANIA|trajectory model analysis|2013
160|Moises Gomes de Carvalho&Altigran Soares da Silva&Marcos André Gonçalves&Laender, Alberto H. F.|evolutionary approach complex schema match|2013
161|Rafael Beserra Gomes&MOTTA DE CARVALHO, BRUNO&MARCOS GARCIA GONÇALVES, LUIZ|attention guide feature selection image|2013
164|SANTOS ROCHA, ROBERTO DOS&Marcelo Fantinato|use software product line business process management literature review|2013
165|André Grützmann&Fernanda Maria Felício Macedo&André Luiz Zambalde|knowledge management innovation role network consumer behavior|2013
166|Alexandre Matos Arruda&FINGER, M.|completeness cut base abduction|2013
169|DE CAMPOS, ARION&Pozo, Aurora T.R.&Elias Procópio Duarte Júnior|evaluation swarm particle optimization topology|2013
171|Juliano Fontoura Kazienko&Igor Cesar Gonzzales Ribeiro&Igor Monteiro Moraes&Célio Vinícius Neves de Albuquerque|lightweight key management scheme wireless sensor network|2013
172|Fábio de Lima Bezerra&Jacques Wainer|algorithm anomaly detection trace log process information system|2013
173|Henrique Santos Camargos Rocha&COUTO, CESAR&MAFFORT, CRISTIANO&GARCIA, ROGEL&SIMOES, CLARISSE&PASSOS, LEONARDO&VALENTE, MARCO TULIO|impact evolution category object orient metric|2013
175|Marcelo de Almeida Maia&Allysson Costa e Silva&Ilmério Reis da Silva|influence latent semantic analysis bug localization|2013
176|Jannicke Baalsrud Hauge&Francesco Bellotti&Riccardo Berta&Maíra Brandão Carvalho&Alesssandro De Gloria&Elisa Lavagnino&Rob Nadolski&Michela Ott|field assessment game entrepreneurship high education|2013
178|Aloísio Carlos de Pina&DE PINA, ALINE APARECIDA&ALBRECHT, CARL HORST&LEITE PIRES DE LIMA, BEATRIZ SOUZA&JACOB, BRENO PINHEIRO|base surrogate model analysis moor line riser|2013
179|Rosane Maria Maffei Vallim&ANDRADE FILHO, JOSÉ A.&DE MELLO, RODRIGO F.&DE CARVALHO, ANDRÉ C.P.L.F.|behavior change detection computer game|2013
180|Fernando A Santos&Geraldo Robson Mateus&Alexandre Salles da Cunha|branch price algorithm echelon vehicle rout problem|2013
181|Fernando Achylles Dettoni&Lau Cheuk Lung&Aldelir Fernando Luiz|use virtualization technology fault tolerant replication|2013
184|MAMANI, G. M. H.&FATORE, F. M.&Luis Gustavo Nonato&PAULOVICH, F. V.|user drive feature space transformation|2013
186|Adriana Santarosa Vivacqua&Marcos da Silva Ferreira&Jano Moreira de Souza|tool assist meet plan|2013
187|MIYOSHI, NEWTON SHYDEO&Daniel Guariz Pinheiro&SILVA, WILSON ARAÚJO&FELIPE, JOAQUIM CEZAR|framework support integration datum approach|2013
188|Alexis Némé&Eric Guy Claude Laporte|pattern root morphology break plural|2013
189|PASSOS, M. A. N.&PAPPAS JUNIOR, G. J.&Robert N G Miller&EMEDIATO, F. L.&DE OLIVEIRA CRUZ, V.&DE CAMARGO TEIXEIRA, C.&DE ALENCAR FIGUEIREDO, L. F.&Natalia Florencio Martins&TOGAWA, R. C.&Marcos Mota do Carmo Costa&orzenil Bonfim da silva Jr|understand plant immunity profile pathogen interaction use generation sequence|2013
191|Marcelo Franco Porto&Joao Francisco de Abreu&Renata Maria Abrantes Baracho Porto|model interpretation topological spatial analysis visually impair blind implement google map|2013
193|Jefferson Gustavo Martins&Luiz Eduardo Soares de Oliveira&Nisgoski, S.&Sabourin, R.|database classification forest specie|2013
194|Rômulo Silva de Oliveira&Carminati, Andreu&STARKE, RENAN AUGUSTO|use adversary simulator evaluate fix priority schedule multiprocessor|2013
195|MAIA, JOSE E. BESSA&Angelo Roncalli Alencar Brayner&RODRIGUES, FERNANDO|framework process query sensor network|2013
198|Vitor Guerra Rolla&Marilia Curado|reinforcement learn base rout delay network|2013
200|Erico Luiz Rempel&Abraham Chian-Long Chian&Axel Brandenburg&Pablo R. Muñoz&Shawn C. Shadden|structure saturation dynamo|2013
202|Fernando Caneppele&Luís Roberto Almeida Gabriel Filho&Camila Pires Cremasco&Antonio Francisco Savi|gain obtain system energy generation wind power electrification use logic controller base scientific journal agricultural engineer|2013
204|GEOCZE, LUCIANA&MUCCI, SAMANTHA&Denise Caluta Abranches&MARCO, MARIO ALFREDO DE&PENIDO, NORMA DE OLIVEIRA|review evidence association tinnitus depression|2013
207|Josiane Michalak Hauagge Dall Agnol&Cesar Augusto Tacla|method collaborative argumentation merge ontology|2013
211|CARRANO, RICARDO C.&Diego Gimenez Passos&MAGALHÃES, LUIZ C.S.&ALBUQUERQUE, CÉLIO V.N.|block design schedule base duty cycle|2013
212|Wendpanga Francis Ouedraogo&Frédérique Biennier&Parisa Ghodous|model drive security multi cloud context|2013
216|Marcos Lordello Chaim&Roberto Paulo Andrioli de Araujo|algorithm datum flow test coverage|2013
221|Isaac José Antonio Luquetti dos Santos&Paulo Victor Rodrigues Carvalho&Claudio Henrique dos Santos Grecco&Guilherme Dutra Gonzaga Jaime|methodology incorporate reliability analysis emergency evacuation plan installation|2013
223|NEGRÃO, JOÃO FRANCISCO RIBEIRO&ARAUJO, GUILHERME AUGUSTO LIMEIRA&COSTA, CARLOS TAVARES DA&Daniel Cardoso de Souza|interference reduction impedance balance apply biosensor|2013
224|Roberto Fernandes Tavares Neto&Godinho Filho, Moacir&Fabio Molina da Silva|ant colony optimization approach machine schedule problem outsource allow|2013
226|Francisco Roberto Pinto Mattos&Luiz Carlos Guimarães&Jano Moreira de Souza&Thiago Guimaraes Moraes|e learn environment mathematical knowledge management|2013
229|SANTOS, ANDREY BICALHO&Arnaldo de Albuquerque Araújo&MENOTTI, DAVID|combine multiple classification method datum interpretation|2013
233|Nivan Roberto Ferreira Júnior&James T. Klosowski&Carlos Eduardo Scheidegger&Claudio Silva|vector field k mean cluster trajectory fit multiple vector field|2013
234|Renata A. Almeida&MARIA DE LOURDES MOREIRA&Antonio Cesar Ferreira Guimaraes&Patricia Wieland|study public perception nuclear area|2013
238|Carlile Campos Lavor&Leo Liberti&A. Mucherino|interval algorithm distance geometry problem interval datum|2013
239|Olga Fernanda Nabuco Araujo|deliver deep health information use clinical eye|2013
240|Renata Hax Sander Reiser&Benjamín René Callejas Bedregal&Regivan Hugo Nunes Santiago&Marilia Dias Amaral|representation class implication|2013
241|Tiago Bonini Borchartt&Aura Conci&LIMA, RITA C.F.&Roger Resmini&Sanchez, Angel|breast image process viewpoint survey|2013
243|Herbert Rodrigues do N Costa&Alessandro La Neve|model phenomenon spread depression cortex rat use compute|2013
244|VIZZOTTO, BRUNO&Zatt, Bruno&VIZZOTTO, BRUNO&SHAFIQUE, MUHAMMAD&Sergio Bampi&HENKEL, JORG|model predictive hierarchical rate control decision process video code|2013
246|Bruno Augusto Angélico&Marcio Mendonça&ARRUDA, L.V.R. (Lúcia Valéria Ramos de Arruda)&Taufik Abraão|comparative analysis method apply fuzzy cognitive map learn|2013
249|NETO, ALBERTO COSTA&Rodrigo Bonifacio de Almeida&RIBEIRO, MÁRCIO&PONTUAL, CARLOS EDUARDO&BORBA, PAULO&Fernando Castor|design rule language aspect orient|2013
255|Abilio Lucena&Alexandre Salles da Cunha&SIMONETTI, LUIDI|formulate solve minimum dominate cycle problem|2013
257|SANTOS, FERNANDO AFONSO&Mateus, Geraldo Robson&Alexandre Salles da Cunha|pickup delivery problem cross dock|2013
258|Wesley Nunes Gonçalves&Bruno, Odemir M.|texture analysis segmentation use partially self avoid walk|2013
259|Luis Rivero&Raimundo da Silva Barreto&Tayana Uchôa Conte|characterize usability inspection method analysis systematic map study extension|2013
260|Rone Ilídio Silva&Daniel Fernandes Macedo&Nogueira, José M.|duty cycle aware spatial query process wireless sensor network|2013
262|Leandro Luiz de Almeida&Maria Stela Veludo de Paiva&Francisco Assis da Silva&Almir Olivete Artero|super resolution image enhance application character recognition|2013
264|GONZALEZ, LUIS FERNANDO PLANELLA&PIVEL, MARIA ALEJANDRA GOMEZ&Duncan Dubugras Alcoba Ruiz|improve image exploration datum mine approach|2013
265|KEMKES, GRAEME&Cristiane Maria Sato&WORMALD, NICHOLAS|enumeration graph|2013
268|Julio A. Tavares&José de Aguiar Moraes Filho&Angelo Brayner&Eduardo Bruno|intelligent buff management mechanism database storage class memory|2013
269|José Rodrigo Furlanetto de Azambuja&ALTIERI, MAURICIO&BECKER, JÜRGEN&Kastensmidt, Fernanda Lima|hybrid error detection technique use assertion|2013
270|Cícero Augusto de S. Camargo&Simone André da Costa Cavalheiro&Luciana Foss&Gerson Geraldo H. Cavalheiro|graph grammar transform graph graph application task schedule|2013
273|Miguel Angel Guevara López&POSADA, N.G.&GADELHA, J.R.&Fernando Morgado|novel form classifier analyze content cell image|2013
276|João Batista Florindo&Dalcimar Casanova&Odemir Martinez Bruno|measure complex network apply texture analysis|2013
277|Renato Nascimento Elias&GUERRA BERNADÁ, GABRIEL M.&DE CARVALHO E SILVA, DANIEL F.&Coutinho, Alvaro L. G. A.&GONÇALVES, MILTON A.&CORTÊS, ADRIANO M. A.&DRUMMOND ALVES, JOSÉ L.&GUEVARA, NESTOR O.&SILVA, CARLOS E.&CORREA, BRUNO&Rochinha, Fernando A.|stabilize edge base finite element approach wave structure interaction assessment|2013
280|Britaldo Silveira Soares Filho&Hermann Rodrigues&FOLLADOR, MARCO|method calibrate land use change model|2013
282|BENAVIDES, ALEXANDER J.&Ritt, Marcus&Luciana Salete Buriol&FRANÇA, PAULO M.|iterate sample construction path method application switch allocation distribution network|2013
283|NAG, AVISHEK&Massimo Tornatore&MUKHERJEE, BISWANATH|effect channel space launch power placement design line rate network|2013
284|Michael Souza&Carlile Campos Lavor&Albert Muritiba&Nelson Maculan Filho|solve distance geometry problem distance datum|2013
286|Wilkerson de Lucena Andrade&Patrícia Duarte de Lima Machado|generate test case real time system base symbolic model|2013
287|Mauricio Ayala Rincon&FERNÁNDEZ, MARIBEL&NANTES-SOBRINHO, DANIELE|elementary deduction problem locally stable theory normal form|2013
288|COSTA, DANIEL&GUEDES, LUIZ&Francisco Vasques&PORTUGAL, PAULO|energy efficient packet relay wireless image sensor network exploit sense relevancy source node code|2013
292|RODRIGUEZ, PAULA&TABARES, VALENTINA&DUQUE, NESTOR&OVALLE, DEMETRIO&Rosa Maria Vicari|agent base model recommend learn object repository federation adapt learner profile|2013
293|Aline Ribeiro de Almeida&Fábio Protti&Lilian Markenzon|match preclusion numb product graph application interconnection network|2013
294|Rodrigo Freese Gonzatto&VAN AMSTEL, FREDERICK M. C.&Luiz Ernesto Merkle&HARTMANN, TIMO|ideology future design fiction|2013
295|Rui Lima&Dinis Carvalho&Guilherme Luís Roehe Vaccaro&Luiz Felipe Roris Rodriguez Scavarda do Carmo|industrial engineer operation management special issue|2013
296|Eduardo Chielle&Jose Rodrigo Azambuja&Barth, Raul Sergio&Almeida, Felipe&Fernanda Gusmão de Lima Kastensmidt|evaluate selective redundancy datum flow software base technique|2013
298|RAMALHO, RODRIGO F.&GELFMAN, SAHAR&Jorge Estefano Santana de Souza&AST, GIL&SOUZA, SANDRO J.&MEYER, DIOGO|test natural selection human splice regulator associate evolutionary rate shift|2013
301|KASHIWABARA, ANDRÉ YOSHIAKI&BONADIO, ÍGOR&ONUCHIC, VITOR&AMADO, FELIPE&MATHIAS, RAFAEL&Alan Mitchell Durham|top framework manipulate probabilistic model sequence datum|2013
302|João Roberto Bertini Junior&Zhao, Liang&Alneu de Andrade Lopes|learn algorithm base k associate graph datum classification|2013
303|Eduardo D. C. Bezerra&Denivaldo Cicero Pavão Lopes&Zair Abdelouahab|dynamic web service composition approach ontology|2013
311|Guilherme Pinto Fickel&Cláudio Rosito Jung&Tom Malzbender&Ramin Samadani&Bruce Culbertson|stereo match view interpolation base image domain triangulation|2013
312|Azzedine Boukerche&LOUREIRO, ANTONIO A. F.&Nakamura, Eduardo F.&Horacio Antonio Braga Fernandes de Oliveira&Ramos, Heitor S.&Villas, Leandro A.|cloud assist compute event drive mobile service|2013
315|RAFAEL LENZ, ALEXANDRE&Aurora Trinidad Ramirez Pozo&REGINA VERGILIO, SILVIA|link software test result machine learn approach|2013
316|Roberto Pinheiro Domingos&PLATT, G M|hyper heuristic apply reactor core design|2013
317|Eduardo Fávero Pacheco da Luz&Ariane Frassoni dos Santos&José C Becceneri&Haroldo Fraga de Campos Velho&Haroldo Fraga de Campos Velho&Saulo R. de Freitas&Manoel Afonso Gan&Georg Grell|weight estimation firefly p optimization precipitation prediction use|2013
321|Fábio Rogério Piva&Ricardo Dahab|e commerce item problem item validation introduce concept degradation|2013
322|Flavio Figueiredo&Henrique Pinto&Belem, Fabiano&Jussara Marques de Almeida&Goncalves, Marcos Andre&Edleno S. de Moura&Fernandes, David|assess quality textual feature social medium|2013
323|Renato Dourado Maia&Leandro Nunes de Castro&Walmir Matos Caminhas|decision make bee colony model optimization algorithm|2013
327|Wesley K. G. Assunção&Thelma E. Colanzi&Silvia Regina Vergilio&Aurora Pozo|generate integration test order aspect orient software multi objective algorithm|2013
328|CAMPOS, MAURO&Renato Antonio Krohling&ENRIQUEZ, IVAN|bare bone particle swarm optimization scale matrix adaptation|2013
