autores*|*titulo*|*ano
THOMAS, ANDREW M.&FREITAS, HELANO C.&Israel Tojal Da Silva&NUNES, DIANA N.&SETUBAL, JOÃO C.&DIAS-NETO, EMMANUEL&JESUS, ELIANE C.&LOPES, ADEMAR&AGUIAR, SAMUEL&BEGNAMI, MARIA D.&ROCHA, RAFAEL M.&CARPINETTI, PAOLA AVELAR&CAMARGO, ANAMARIA A.&HOFFMANN, CHRISTIAN*|*Tissue-Associated Bacterial Alterations in Rectal Carcinoma Patients Revealed by 16S rRNA Community Profiling*|*2016
MOTTA, JOSE MAURICIO S.T.&Carlos Humberto Llanos Quintero&SAMPAIO, RENATO CORAL*|*Inverse Kinematics and Model Calibration Optimization of a Five-D.O.F. Robot for Repairing the Surface Profiles of Hydraulic Turbine Blades*|*2016
Sánchez-Ferreira, Camilo&Mori, Jones Y.&FARIAS, MYLÈNE C. Q.&Carlos Humberto Llanos Quintero*|*A real-time stereo vision system for distance measurement and underwater image restoration*|*2016
Flavio Luis de Mello&Jose Antonio Moreira Xexeo&Roberto Lins de Carvalho*|*Criptoanalisys Outwit using Context Sensitive Grammars*|*2016
Flavio Luis de Mello&Jose Antonio Moreira Xexeo*|*Cryptographic Algorithm Identification Using Machine Learning and Massive Processing*|*2016
Daniel Durante Pereira Alves*|*Termos Singulares Indefinidos: Frege, Russell e a tradicao matematica*|*2016
BOROVINA JOSKO, J. M.&João Eduardo Ferreira*|*Visualization properties for data quality visual assessment: An exploratory case study*|*2016
CARDOSO, CLARECI SILVA&REINGOLD, ARTHUR L&RIBEIRO, ANTONIO LUIZ P&Sabino, Ester Cerdeira&OLIVEIRA, CLAUDIA DI LORENZO&DE OLIVEIRA, LEA CAMPOS&FERREIRA, ARIELA MOTA&CUNHA-NETO, EDÉCIO&BIERRENBACH, ANA LUIZA&João Eduardo Ferreira&HAIKAL, DESIRÉE SANT'ANA*|*Longitudinal study of patients with chronic Chagas cardiomyopathy in Brazil (SaMi-Trop project): a cohort profile*|*2016
DRIEMEIER, CARLOS&LING, LIU YI&SANCHES, GUILHERME M.&PONTES, ANGÉLICA O.&MAGALHÃES, PAULO S. GRAZIANO&João Eduardo Ferreira*|*A computational environment to support research in sugarcane agriculture*|*2016
ALMEIDA, FERNANDA NASCIMENTO&TUNES, GISELA&DA COSTA, JULIO CEZAR BRETTAS&Sabino, Ester Cerdeira&MENDRONE-JÚNIOR, ALFREDO&João Eduardo Ferreira*|*A provenance model based on declarative specifications for intensive data analyses in hemotherapy information systems*|*2016
Rodolfo Carneiro Cavalcante&BRASILEIRO, RODRIGO C.&SOUZA, VICTOR L.F.&NOBREGA, JARLEY P.&Adriano Lorena Inacio de Oliveira*|*Computational Intelligence and Financial Markets: A Survey and Future Directions*|*2016
Fernando Antônio Asevedo Nobrega&PARDO, THIAGO ALEXANDRE SALGUEIRO*|*Improving Content Selection for Update Summarization with Subtopic-Enriched Sentence Ranking Functions*|*2016
Alair Dias Júnior&MURALI, SRINIVASAN&RINCON, FRANCISCO&ATIENZA, DAVID*|*Methods for reliable estimation of pulse transit time and blood pressure variations using smartphone sensors*|*2016
Felipe Mancini&Thiago Schumacher Barcelos&Dinarde Almeida Bezerra*|*Mitigacao do efeito Alert Fatigue para a maximizacao da eficiencia nos sistemas de suporte a decisao clinica*|*2016
